Year,Month,Temperature,Beer Sales
2000,1,7.6,"1,150"
2000,2,6,"1,040"
2000,3,9.4,"1,430"
2000,4,14.5,1500
2000,5,19.8,1480
2000,6,22.5,2080
2000,7,27.7,2170
2000,8,28.3,1730
2000,9,25.6,1680
2000,10,18.8,1355
2000,11,13.3,1595
2000,12,8.8,1960
2001,1,4.9,1080
2001,2,6.6,905
2001,3,9.8,1385
2001,4,15.7,1390
2001,5,19.5,1390
2001,6,23.1,1845
2001,7,28.5,1960
2001,8,26.4,1635
2001,9,23.2,1345
2001,10,18.7,1240
2001,11,13.1,1410
2001,12,8.4,1850
2002,1,7.4,880
2002,2,7.9,860
2002,3,12.2,1235
2002,4,16.1,1365
2002,5,18.4,1315
2002,6,21.6,1645
2002,7,28,1725
2002,8,28,1545
2002,9,23.1,1215
2002,10,19,1190
2002,11,11.6,1285
2002,12,7.2,1695
2003,1,5.5,800
2003,2,6.4,800
2003,3,8.7,1060
2003,4,15.1,1135
2003,5,18.8,1220
2003,6,23.2,1585
2003,7,22.8,1470
2003,8,26,1475
2003,9,24.2,1220
2003,10,17.8,1095
2003,11,14.4,1135
2003,12,9.2,1665
2004,1,6.3,745
2004,2,8.5,805
2004,3,9.8,1115
2004,4,16.4,1170
2004,5,19.6,1100
2004,6,23.7,1500
2004,7,28.5,1720
2004,8,27.2,1420
2004,9,25.1,1110
2004,10,17.5,1045
2004,11,15.6,1165
2004,12,9.9,1855
2005,1,6.1,575
2005,2,6.2,700
2005,3,9,1050
2005,4,15.1,1135
2005,5,17.7,1035
2005,6,23.2,1450
2005,7,25.6,1440
2005,8,28.1,1465
2005,9,24.7,1060
2005,10,19.2,1110
2005,11,13.3,1010
2005,12,6.4,1550
2006,1,5.1,645
2006,2,6.7,805
2006,3,9.8,1040
2006,4,13.6,1000
2006,5,19,1095
2006,6,22.5,1465
2006,7,25.6,1250
2006,8,27.5,1440
2006,9,23.5,1025
2006,10,19.5,935
2006,11,14.4,1035
2006,12,9.5,1525
2007,1,7.6,645
2007,2,8.6,745
2007,3,10.8,990
2007,4,13.7,1020
2007,5,19.8,1025
2007,6,23.2,1200
2007,7,24.4,1400
2007,8,29,1455
2007,9,25.2,1000
2007,10,19,970
2007,11,13.3,1020
2007,12,9,1600
2008,1,5.9,625
2008,2,5.5,1220
2008,3,10.7,500
2008,4,14.7,960
2008,5,18.5,1000
2008,6,21.3,1115
2008,7,27,1480
2008,8,26.8,1255
2008,9,24.4,925
2008,10,19.4,950
2008,11,13.1,945
2008,12,9.8,1555
2009,1,6.8,540
2009,2,7.8,705
2009,3,10,855
2009,4,15.7,990
2009,5,20.1,905
2009,6,22.5,1100
2009,7,26.3,1275
2009,8,26.6,1160
2009,9,23,880
2009,10,19,890
2009,11,13.5,855
2009,12,9,1545
2010,1,7,460
2010,2,6.5,625
2010,3,9.1,845
2010,4,12.4,945
2010,5,19,830
2010,6,23.6,1100
2010,7,28,1295
2010,8,29.6,1160
2010,9,25.1,895
2010,10,18.9,815
2010,11,13.5,865
2010,12,9.9,1430
2011,1,5.1,475
2011,2,7,625
2011,3,8.1,800
2011,4,14.5,960
2011,5,18.5,730
2011,6,22.8,980
2011,7,27.3,1295
2011,8,27.5,1135
2011,9,25.1,830
2011,10,19.5,805
2011,11,14.9,840
2011,12,7.5,1375
2012,1,4.8,480
2012,2,5.4,610
2012,3,8.8,810
2012,4,14.5,886
2012,5,19.6,847
2012,6,21.4,998
2012,7,26.4,1193
2012,8,29.1,1177
2012,9,26.2,810
2012,10,19.4,818
2012,11,12.7,865
2012,12,7.3,1317
2013,1,5.5,485
2013,2,6.2,610
2013,3,12.1,790
2013,4,15.2,847
2013,5,19.8,859
2013,6,22.9,962
2013,7,27.3,1236
2013,8,29.2,1108
2013,9,25.2,753
2013,10,19.8,813
2013,11,13.5,836
2013,12,8.3,1325
2014,1,6.3,499
2014,2,5.9,684
2014,3,10.4,966
2014,4,15,708
2014,5,20.3,851
2014,6,23.4,957
2014,7,26.8,1160
2014,8,27.7,1035
2014,9,23.2,754
2014,10,19.1,814
2014,11,14.2,808
2014,12,6.7,1375
2015,1,5.8,462
2015,2,5.7,645
2015,3,10.3,776
2015,4,14.5,843
2015,5,21.1,853
2015,6,22.1,958
2015,7,26.2,1109
2015,8,26.7,1037
2015,9,22.6,768
2015,10,18.4,810
2015,11,13.9,766
2015,12,9.3,1351
2016,1,6.1,452
2016,2,7.2,584
2016,3,10.1,750
2016,4,15.4,835
2016,5,20.2,794
2016,6,22.4,961
2016,7,25.4,1025
2016,8,27.1,1021
2016,9,24.4,478
2016,10,18.7,730
2016,11,11.4,787
2016,12,8.9,1313
2017,1,5.8,441
2017,2,6.9,575
2017,3,8.5,796
2017,4,14.7,784
2017,5,20,906
2017,6,22,863
2017,7,27.3,1026
2017,8,26.4,939
2017,9,22.8,706
2017,10,16.8,689
2017,11,11.9,770
2017,12,6.6,1302
2018,1,4.7,426
2018,2,5.4,640
2018,3,11.5,618
2018,4,17,746
2018,5,19.8,694
2018,6,22.4,882
2018,7,28.3,963
2018,8,28.1,898
2018,9,22.9,668
2018,10,19.1,661
2018,11,14,769
2018,12,8.3,1119
2019,1,5.6,440
2019,2,7.2,510
2019,3,10.6,681
2019,4,13.6,748
2019,5,20,667
2019,6,21.8,825
2019,7,24.1,825
2019,8,28.4,866
2019,9,25.1,751
2019,10,19.4,582
2019,11,13.1,703
2019,12,8.5,1050
2020,1,7.1,418
2020,2,8.3,518
2020,3,10.7,476
2020,4,12.8,347
2020,5,19.5,416
2020,6,23.2,612
2020,7,24.3,702
2020,8,29.1,611
2020,9,24.2,502
2020,10,17.5,529
2020,11,14,560
2020,12,7.7,827
2021,1,5.4,227
2021,2,8.5,327
2021,3,12.8,472
2021,4,15.1,552
2021,5,19.6,377
2021,6,22.7,551
2021,7,25.9,708
2021,8,27.4,455
2021,9,22.3,385
2021,10,18.2,529
2021,11,13.7,573
2021,12,7.9,925
2022,1,4.9,273
2022,2,5.2,291
2022,3,10.9,579
2022,4,15.3,582
2022,5,18.8,550
2022,6,23,690
2022,7,27.4,723
2022,8,27.5,665
2022,9,24.4,766
2022,10,17.2,353
2022,11,14.5,534
2022,12,7.5,882
